whole_path,taxid,name_clean,command
 AcerumDSM5522_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1120918,AcerumDSM5522,"seqfu cat --append ""|kraken:taxid|1120918""  AcerumDSM5522_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_AcerumDSM5522.fasta"
 AciferpGA4_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,905,AciferpGA4,"seqfu cat --append ""|kraken:taxid|905""  AciferpGA4_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_AciferpGA4.fasta"
 AciferWCC6_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,905,AciferWCC6,"seqfu cat --append ""|kraken:taxid|905""  AciferWCC6_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_AciferWCC6.fasta"
 AcispDSM11652_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,346222,AcispDSM11652,"seqfu cat --append ""|kraken:taxid|346222""  AcispDSM11652_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_AcispDSM11652.fasta"
 ActdenPA_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,52767,ActdenPA,"seqfu cat --append ""|kraken:taxid|52767""  ActdenPA_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_ActdenPA.fasta"
 ActnasKPR1_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,208480,ActnasKPR1,"seqfu cat --append ""|kraken:taxid|208480""  ActnasKPR1_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_ActnasKPR1.fasta"
 ActrumDSM27982_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,332524,ActrumDSM27982,"seqfu cat --append ""|kraken:taxid|332524""  ActrumDSM27982_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_ActrumDSM27982.fasta"
 ActrumKPR7B_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,332524,ActrumKPR7B,"seqfu cat --append ""|kraken:taxid|332524""  ActrumKPR7B_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_ActrumKPR7B.fasta"
 AllhisDSM15230_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,209880,AllhisDSM15230,"seqfu cat --append ""|kraken:taxid|209880""  AllhisDSM15230_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_AllhisDSM15230.fasta"
 AnalipLB2005_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1408423,AnalipLB2005,"seqfu cat --append ""|kraken:taxid|1408423""  AnalipLB2005_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_AnalipLB2005.fasta"
